name,publisher,releaseDate,url,summary
"A fost lansată OpenMoney.md, platforma care arată cine sunt beneficiarii finali ai achizițiilor publice",Moldova.org,2016-12-06,https://www.moldova.org/fost-lansata-openmoney-md-platforma-care-arata-cine-sunt-beneficiarii-finali-ai-achizitiilor-publice/,NA
Iurie Leancă: Sunt gata să o ajut pe Maia Sandu,Moldova.org,2016-10-31,https://www.moldova.org/iurie-leanca-sunt-gata-sa-o-ajut-pe-maia-sandu/,NA
Luptătorii moldoveni au luat încă 2 medalii de bronz la Campionatul Mondial,Moldova.org,2016-10-31,https://www.moldova.org/luptatorii-moldoveni-au-luat-inca-2-medalii-de-bronz-la-campionatul-mondial/,NA
"99% din voturi au fost procesate! Igor Dodon, cu 10% mai mult decât Maia Sandu",Moldova.org,2016-10-31,https://www.moldova.org/99-din-voturi-au-fost-procesate-igor-dodon-cu-10-mai-mult-decat-maia-sandu/,NA
Moscova a votat pentru Dodon și Ciubașenco. Sandu a luat mai puțin de 9%,Moldova.org,2016-10-31,https://www.moldova.org/moscova-votat-pentru-dodon-si-ciubasenco-sandu-luat-mai-putin-de-9/,NA
Promo-LEX alertează privind mai multe încălcări în raza secțiilor de votare până la 12:30,Moldova.org,2016-10-30,https://www.moldova.org/promo-lex-alerteaza-privind-mai-multe-incalcari-raza-sectiilor-de-votare-pana-la-1230/,NA
Plahotniuc: Am votat pentru candidatul care nu are nevoie de sprijinul meu,Moldova.org,2016-10-30,https://www.moldova.org/plahotniuc-votat-pentru-candidatul-care-nu-nevoie-de-sprijinul-meu/,NA
Maia Sandu: Vreau să le spun cetățenilor să nu le fie frică,Moldova.org,2016-10-30,https://www.moldova.org/maia-sandu-vreau-sa-le-spun-cetatenilor-sa-nu-le-fie-frica/,NA
Dumitru Ciubașenco: Am votat pentru un concurent electoral pe care-l cunosc foarte bine,Moldova.org,2016-10-30,https://www.moldova.org/dumitru-ciubasenco-votat-pentru-un-concurent-electoral-pe-care-l-cunosc-foarte-bine/,NA
Igor Dodon a votat: Astăzi va fi primul și ultimul tur,Moldova.org,2016-10-30,https://www.moldova.org/igor-dodon-votat-astazi-va-fi-primul-si-ultimul-tur/,NA
Observatorii Promo-LEX au raportat mai multe probleme la deschiderea secțiilor de votare,Moldova.org,2016-10-30,https://www.moldova.org/observatorii-promo-lex-au-raportat-mai-multe-probleme-la-deschiderea-sectiilor-de-votare/,NA
Mihai Ghimpu se va retrage din cursa electorală DOAR dacă Sandu își asumă Unirea,Moldova.org,2016-10-28,https://www.moldova.org/mihai-ghimpu-se-va-retrage-din-cursa-electorala-doar-daca-sandu-isi-asuma-unirea/,NA
Leancă NU se retrage din campanie: Sandu a reaționat irațional la retragerea lui Lupu,Moldova.org,2016-10-27,https://www.moldova.org/leanca-nu-se-retrage-din-campanie-sandu-a-reationat-irational-la-retragerea-lui-lupu/,NA
Valeriu Ghilețchi nu se retrage din campanie atâta timp cât Sandu nu adoptă valorile tradiționale creștine,Moldova.org,2016-10-27,https://www.moldova.org/valeriu-ghiletchi-nu-se-retrage-din-campanie-atata-timp-cat-sandu-nu-adopta-valorile-traditionale-crestine/,NA
Ultimă oră: Marian Lupu se retrage din cursa electorală în favoarea Maiei Sandu! // VIDEO,Moldova.org,2016-10-26,https://www.moldova.org/ultima-ora-marian-lupu-se-retrage-din-cursa-electorala-favoarea-maiei-sandu/,NA
Ministrul Justiției a cerut ca violatorul din Bălți să fie pus sub măsură preventivă,Moldova.org,2016-10-26,https://www.moldova.org/ministrul-justitiei-cerut-ca-violatorul-din-balti-sa-fie-pus-sub-masura-preventiva/,NA
Medicul violator din Bălți a fost condamnat la 13 ani de închisoare,Moldova.org,2016-10-25,https://www.moldova.org/medicul-violator-din-balti-fost-condamnat-la-13-ani-de-inchisoare/,NA
Școlile din Moldova vor ține un minut de reculegere în memoria soților Aldea-Teodorovici,Moldova.org,2016-10-25,https://www.moldova.org/scolile-din-moldova-vor-tine-un-minut-de-reculegere-memoria-sotilor-aldea-teodorovici/,NA
"Fiul și șoferul primarului din Comrat, reținuți pentru proxenetism",Moldova.org,2016-10-25,https://www.moldova.org/fiul-si-soferul-primarului-din-comrat-retinuti-pentru-proxenetism/,NA
Usatîi îl acuză pe Plahotniuc de intimidare pentru mandatul de arest pe numele său,Moldova.org,2016-10-25,https://www.moldova.org/usatii-il-acuza-pe-plahotniuc-de-intimidare-pentru-mandatul-de-arest-pe-numele-sau/,NA
"Usatîi, dat în căutare internațională! Urmează să stea 30 zile în arest!",Moldova.org,2016-10-24,https://www.moldova.org/usatii-dat-cautare-internationala-urmeaza-sa-stea-30-zile-arest/,NA
Un ofițer de urmărire penală din Ialoveni a fost reținut pentru corupție,Moldova.org,2016-10-24,https://www.moldova.org/un-ofiter-de-urmarire-penala-din-ialoveni-fost-retinut-pentru-coruptie/,NA
Un moldovean a fost reținut pentru recrutarea cetățenilor în ISIS,Moldova.org,2016-10-21,https://www.moldova.org/un-moldovean-fost-retinut-pentru-recrutarea-cetatenilor-isis/,NA
