name,publisher,releaseDate,url,summary
Russia's tech brain drain in numbers,blog.samizdata.co,2024-04-17T07:45:17,https://blog.samizdata.co/p/russias-tech-brain-drain-in-numbers,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gtF09l/russias-tech-brain-drain-in-numbers""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""April 17, 2024, 7:45 a.m."" datetime=""2024-04-17T07:45:17"">a year ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""http://blog.samizdata.co"" target=""_blank"" rel=""noreferrer"" class="""">blog.samizdata.co</a> </span> </div> This February, Yandex, one of Russia’s best-known tech companies, announced it would pull out of the country. Yandex co-founder Arkady Volozh pleaded with the EU to be removed from sanctions lists, saying he helped “thousands of engineers” leave the country, and that they would be “an asset wherever they land.”Where exactly did these engineers land? By various estimates, Putin 350,000 to 410,000 young men to die or become crippled in Ukraine. But Russian losses don’t stop there."
US new-biz spotlight: Creative activity more than doubles with big moves but media slows,Campaign (UK),2024-03-14T06:13:38,https://www.campaignlive.co.uk/article/us-new-biz-spotlight-creative-activity-doubles-big-moves-media-slows/1864904,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gj5Izn/us-new-biz-spotlight-creative-activity-more-than-doubles-with-big-moves-but-media-slows""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""March 14, 2024, 6:13 a.m."" datetime=""2024-03-14T06:13:38"">a year ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/campaign"" target=""_blank"" rel=""noreferrer"" class="""">Campaign (UK)</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Sign in to continue Email address Password Stay signed in Limited free articles a month Free email bulletins To receive full access to Campaign's content including: Unrestricted access to all The Information and The Knowledge content Access to Campaign's in-depth features and coveted reports including additional School Reports analysis, the Annual Salary Survey, and supplementary insight from Camapign's Best Places to Work Regular data-led insight reports from Campaign AI, our business..."
US new-biz spotlight: Creative activity more than doubles but media slows,Campaign (US),2024-03-12T12:02:07,https://www.campaignlive.com/article/us-new-biz-spotlight-creative-activity-doubles-media-slows/1864904,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gjEzF6/us-new-biz-spotlight-creative-activity-more-than-doubles-but-media-slows""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""March 12, 2024, 12:02 p.m."" datetime=""2024-03-12T12:02:07"">a year ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/campaign-us"" target=""_blank"" rel=""noreferrer"" class="""">Campaign (US)</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> The US creative market finished 2023 on a strong note, with new-business billings reaching $3.44bn in November-December, according to Campaign Advertising Intelligence. This is an increase of 130% compared with the same period in 2022, when creative account wins totalled $1.49bn. A big chunk of that growth came from the fast-moving consumer goods sector, for which billings increased from $125.5m in November-December 2022 to $1.41bn in 2023."
Canada new-biz spotlight: WPP’s Church & Dwight win is biggest media move,Campaign (Canada),2024-03-07T05:27:52,https://www.campaigncanada.ca/article/canada-new-biz-spotlight-wpps-church-dwight-win-biggest-media-move/1864202,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gamy9g/canada-new-biz-spotlight-wpps-church-dwight-win-is-biggest-media-move""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""March 7, 2024, 5:27 a.m."" datetime=""2024-03-07T05:27:52"">a year ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/campaigncanada"" target=""_blank"" rel=""noreferrer"" class="""">Campaign (Canada)</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> To continue enjoying this article, please sign in. You can register for free for limited further access, or subscribe now for full access to all our content. If you were registered for The Message and are logging into Campaign for the first time, please reset your password."
"Asia-Pacific new-biz spotlight: BMW, Perfetti and Chery Jaguar Land Rover among biggest media moves",Campaign (UK),2024-03-06T05:59:45,https://www.campaignlive.co.uk/article/asia-pacific-new-biz-spotlight-bmw-perfetti-chery-jaguar-land-rover-among-biggest-media-moves/1864003,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/ga3kEh/asia-pacific-new-biz-spotlight-bmw-perfetti-and-chery-jaguar-land-rover-among-biggest-media-moves""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""March 6, 2024, 5:59 a.m."" datetime=""2024-03-06T05:59:45"">a year ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/campaign"" target=""_blank"" rel=""noreferrer"" class="""">Campaign (UK)</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Sign in to continue Email address Password Stay signed in Limited free articles a month Free email bulletins To receive full access to Campaign's content including: Unrestricted access to all The Information and The Knowledge content Access to Campaign's in-depth features and coveted reports including additional School Reports analysis, the Annual Salary Survey, and supplementary insight from Camapign's Best Places to Work Regular data-led insight reports from Campaign AI, our business..."
Energy prices: How much will you pay from January?,Yahoo News,2024-01-03T09:45:33,https://news.yahoo.com/energy-prices-much-pay-january-143413028.html,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gu0ikc/energy-prices-how-much-will-you-pay-from-january""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Jan. 3, 2024, 9:45 a.m."" datetime=""2024-01-03T09:45:33"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/yahoonews"" target=""_blank"" rel=""noreferrer"" class="""">Yahoo News</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> The typical annual energy bill for a household in England, Wales and Scotland has increased to £1,928 per year for the first three months of 2024, a rise of £94 from November-December 2023. The figure is based on how much energy the typical household uses. However, how much you'll actually end up paying depends on how much you use, where you live, and how you pay."
Energy prices: How much will you pay from January?,Yahoo News New Zealand,2024-01-03T09:34:13,https://nz.news.yahoo.com/energy-prices-much-pay-january-143413028.html,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/guMPq3/energy-prices-how-much-will-you-pay-from-january""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Jan. 3, 2024, 9:34 a.m."" datetime=""2024-01-03T09:34:13"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/nznewsyahoo"" target=""_blank"" rel=""noreferrer"" class="""">Yahoo News New Zealand</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> The typical annual energy bill for a household in England, Wales and Scotland has increased to £1,928 per year for the first three months of 2024, a rise of £94 from November-December 2023. The figure is based on how much energy the typical household uses. However, how much you'll actually end up paying depends on how much you use, where you live, and how you pay."
Energy prices: How much will you pay from January?,Yahoo Canada,2024-01-03T09:34:13,https://ca.news.yahoo.com/energy-prices-much-pay-january-143413028.html,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/guEDCs/energy-prices-how-much-will-you-pay-from-january""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Jan. 3, 2024, 9:34 a.m."" datetime=""2024-01-03T09:34:13"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/canewsyahoo"" target=""_blank"" rel=""noreferrer"" class="""">Yahoo Canada</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Energy price calculator cover imageThe typical annual energy bill for a household in England, Wales and Scotland has increased to £1,928 per year for the first three months of 2024, a rise of £94 from November-December 2023. The figure is based on how much energy the typical household uses. However, how much you'll actually end up paying depends on how much you use, where you live, and how you pay."
Christmas dinner: How much will it cost this year?,BBC,2023-12-19T19:16:46,https://www.bbc.co.uk/news/business-67716356,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/gwY0vM/christmas-dinner-how-much-will-it-cost-this-year""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Dec. 19, 2023, 7:16 p.m."" datetime=""2023-12-19T19:16:46"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span><span>, <a href=""/colletta-smith"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""351258"">Colletta Smith</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span><span>, <a href=""/tom-espiner"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""186532"">Tom Espiner</a>&nbsp;<small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> Those tucking into a traditional turkey for Christmas dinner shouldn't have to fork out much more than last year. The price of a supermarket frozen bird has gone up by just 1.2% in a year, while fellow festive favourite the mince pie has risen by 25%. Meanwhile, higher-end potatoes, stuffing mix and Brussels sprouts are cheaper, research for the BBC suggests. Overall, a typical Christmas dinner costs around £32.35 this year, which is a 4.3% increase on £31 last year."
Energy prices: How much will you pay from January?,BBC,2023-11-23T03:20:50,https://www.bbc.co.uk/news/business-67489975,"<div class=""news-story-byline""> <span> <a rel=""nofollow"" href=""/link/g6XZ3k/energy-prices-how-much-will-you-pay-from-january""> <time class=""text-muted timeago"" data-bs-toggle=""tooltip"" data-bs-placement=""bottom"" data-bs-title=""Nov. 23, 2023, 3:20 a.m."" datetime=""2023-11-23T03:20:50"">2 years ago</time> </a> </span> <span>|</span> <span> <div class=""mr-byline ""> By <span><a href=""/nicu"" target=""_blank"" rel=""noopener"" class=""js-person-name"" data-id=""6797798"">Nicu Calcea</a></span> </div> </span> <span>|</span> <span> <a href=""/media-outlet/bbc"" target=""_blank"" rel=""noreferrer"" class="""">BBC</a> <small class=""text-success text-nowrap ""><i class=""fa fa-circle-check "" aria-hidden=""true""></i><span class=""visually-hidden"">Verified</span></small> </span> </div> The typical annual energy bill for a household in England, Wales and Scotland has increased to £1,928 per year for the first three months of 2024, a rise of £94 from November-December 2023. The figure is based on how much energy the typical household uses. However, how much you'll actually end up paying depends on how much you use, where you live, and how you pay."
