Postcode 1,Postcode 2,Postcode 3,Date Introduced,User Type,Easting,Northing,Positional Quality,County Code,County Name,Local Authority Code,Local Authority Name,Ward Code,Ward Name,Country Code,Country Name,Region Code,Region Name,Parliamentary Constituency Code,Parliamentary Constituency Name,European Electoral Region Code,European Electoral Region Name,Primary Care Trust Code,Primary Care Trust Name,Lower Super Output Area Code,Lower Super Output Area Name,Middle Super Output Area Code,Middle Super Output Area Name,Output Area Classification Code,Output Area Classification Name,Longitude,Spatial Accuracy,Latitude,Last Uploaded,Location,Socrata ID
N7  9GY,N7   9GY,N7 9GY,Aug-16,0,530072,184198,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000868,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.125743,Postcode Level,51.541702,01/04/2018 09:44,"(51.541702, -0.125743)",1000533
N7  9LG,N7   9LG,N7 9LG,Jan-80,0,529938,184847,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000869,,E02000180,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.127461,Postcode Level,51.547563,01/04/2018 09:44,"(51.547563, -0.127461)",1000557
N7  9LN,N7   9LN,N7 9LN,Jan-80,0,529860,184935,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000869,,E02000180,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.128552,Postcode Level,51.548372,01/04/2018 09:44,"(51.548372, -0.128552)",1000560
NW3 1NX,NW3  1NX,NW3 1NX,Jan-80,0,526938,185643,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000135,Hampstead Town,E92000001,England,E12000007,London,E14000727,Hampstead and Kilburn,E15000007,London,E16000047,Camden,E01000896,,E02000167,,5B1,Urbanites;Ageing urban living;Delayed retirement,-0.170415,Postcode Level,51.555399,01/04/2018 09:47,"(51.555399, -0.170415)",1123923
N7  9QE,N7   9QE,N7 9QE,Jan-80,0,529973,184736,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126997,Postcode Level,51.546558,01/04/2018 09:44,"(51.546558, -0.126997)",1000585
N7  9QF,N7   9QF,N7 9QF,Jan-80,0,530008,184548,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126536,Postcode Level,51.544862,01/04/2018 09:44,"(51.544862, -0.126536)",1000586
N7  9QG,N7   9QG,N7 9QG,Jan-80,0,530044,184350,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,2D3,Cosmopolitans;Aspiring and affluent;EU white-collar workers,-0.126116,Postcode Level,51.543073,01/04/2018 09:44,"(51.543073, -0.126116)",1000587
N7  9QL,N7   9QL,N7 9QL,Oct-06,0,529982,184680,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000131,Cantelowes,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000864,,E02000180,,3B2,Ethnicity central;Endeavouring ethnic mix;Bangladeshi mixed employment,-0.126888,Postcode Level,51.546052,01/04/2018 09:44,"(51.546052, -0.126888)",1000590
NW1 0AA,NW1  0AA,NW1 0AA,Jan-80,0,529135,183622,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.139484,Postcode Level,51.536739,01/04/2018 09:47,"(51.536739, -0.139484)",1116781
NW1 0AB,NW1  0AB,NW1 0AB,Jan-80,0,529085,183689,1,E99999999,(pseudo) England (UA/MD/LB),E09000007,Camden,E05000142,Regent's Park,E92000001,England,E12000007,London,E14000750,Holborn and St Pancras,E15000007,London,E16000047,Camden,E01000947,,E02000186,,3B3,Ethnicity central;Endeavouring ethnic mix;Multi-ethnic professional service workers,-0.14018,Postcode Level,51.537352,01/04/2018 09:47,"(51.537352, -0.14018)",1116782
